var2_256_VB,var2_256_VNPC,var2_512_VB,var2_512_VNPC,var2_1024_VB,var2_1024_VNPC
0.111086539,0.138949335,0.066710685,0.121806581,0.090618894,0.087559512
0.120547709,0.138547957,0.074139334,0.107245871,0.089092104,0.065022643
0.134347094,0.146683617,0.073072245,0.133467422,0.070372743,0.074948965
0.169364145,0.093348081,0.068423633,0.084133356,0.097606485,0.062362318
0.145935249,0.125492824,0.081173006,0.094567575,0.076970408,0.066530647
0.147421571,0.159884415,0.119974659,0.07504662,0.055295798,0.064591269
0.127675252,0.095031695,0.131371437,0.147140479,0.078893267,0.070564328
0.112109975,0.135578624,0.05387154,0.103829697,0.03594535,0.058781338
0.127403595,0.13146871,0.112752925,0.094647255,0.06950967,0.085816969
0.124817932,0.119886664,0.049210726,0.107629789,0.050548363,0.056628494
0.14901725,0.133531837,0.074124922,0.085423677,0.082063827,0.085458469
0.155967446,0.127264818,0.109540197,0.091331391,0.075771174,0.071620757
0.113234574,0.117027872,0.123216266,0.115870972,0.072003015,0.113875563
0.107685697,0.297902343,0.061547074,0.126247292,0.064208605,0.081359448
0.131155377,0.163547165,0.080480393,0.083678207,0.118130004,0.086457083
0.09831786,0.125189296,0.109625303,0.09612053,0.078505477,0.090034907
